sample_index,true_class,pred_class,pred_confidence,true_confidence
3765,loud,noisy,12.259044,5.465087
570,give,gift,11.538801,10.052709
7536,pen,pencil,11.289731,10.145568
2751,yes,can,11.245708,7.1370907
1865,wait,finger,10.946096,8.700742
2508,kitty,bee,10.899973,6.5320835
786,give,gift,10.777812,9.387984
3775,look,face,10.70463,8.410033
4370,loud,noisy,10.660806,6.701588
7930,nap,sleep,10.526761,9.234549
571,nap,pajamas,10.40427,5.30259
5116,listen,hear,10.316037,9.396585
6973,gift,give,10.26505,10.139054
3465,cat,kitty,10.260331,9.745353
4131,look,face,10.222958,8.99812
1577,into,night,10.204346,7.8074894
585,bedroom,bed,10.179584,7.052466
2711,haveto,have,10.168299,6.682939
7265,pen,pencil,10.153524,10.135588
1832,toy,green,10.116777,7.9170084
4299,nap,sleep,10.106962,8.713828
3579,stay,that,10.09594,9.963275
8208,boat,book,10.077181,8.072543
6882,bedroom,bed,10.042438,7.6855993
303,hear,ear,10.041194,9.538461
7207,bedroom,bed,10.0267,9.09028
4269,bedroom,room,10.00203,8.407354
6316,yucky,hate,9.995319,6.583415
960,kitty,cat,9.970061,9.60774
5306,dog,green,9.954271,5.432129
3809,lips,mouth,9.927509,9.608014
3810,fine,talk,9.919032,6.3000607
1580,bedroom,bed,9.901702,7.2906675
8957,beside,person,9.864568,8.702238
8133,loud,later,9.862225,6.4807935
1201,cat,kitty,9.824536,9.756752
5113,give,gift,9.820671,8.558098
6881,kiss,food,9.81745,5.2824926
6855,green,owie,9.810972,8.6710825
7552,book,person,9.792681,2.178729
7100,bedroom,room,9.773763,5.5523663
422,cut,scissors,9.773474,7.069213
994,beside,person,9.770448,8.027679
2870,goose,bird,9.754835,7.6069016
8754,awake,wake,9.754638,9.413871
2777,grandma,mom,9.680985,5.4150076
1624,look,see,9.671719,8.813739
5772,give,gift,9.660464,8.452922
8979,wait,finger,9.653016,9.262129
4234,cut,scissors,9.539191,9.073534
5215,alligator,loud,9.529804,2.8635824
6018,awake,wake,9.526899,9.004091
5236,give,gift,9.52682,7.505748
5185,give,gift,9.518817,8.275518
8868,wake,awake,9.513279,9.489472
7071,black,face,9.508817,4.6677275
441,face,look,9.491288,9.411046
7946,wake,awake,9.491199,9.136068
4518,bedroom,bed,9.475719,7.6042995
8952,wake,awake,9.471964,9.3881855
8337,puppy,hide,9.4597645,-0.19773415
252,nap,sleep,9.457562,7.627886
8818,quiet,shhh,9.449219,6.7320642
3049,listen,hear,9.4349375,8.584537
6977,can,yes,9.429206,8.429679
7400,go,wet,9.426874,5.824309
8497,listen,hear,9.415449,9.39
3773,room,zebra,9.404419,1.256268
6197,book,fine,9.392246,4.2221665
6340,awake,wake,9.385025,9.069536
426,wake,awake,9.380863,9.243297
6559,awake,wake,9.3803005,9.277209
708,that,stay,9.35304,8.732248
6716,wait,finger,9.342493,9.280244
742,stairs,jump,9.340756,8.975678
4607,nap,sleep,9.336253,8.983501
6916,cry,mom,9.333963,4.2758327
8177,chin,thirsty,9.329303,7.964088
5804,lips,mouth,9.322219,8.266552
4483,yes,can,9.321221,8.50413
3726,toy,green,9.31581,6.963803
1399,noisy,loud,9.311079,8.615281
7602,sleepy,sleep,9.3078375,7.2942033
4089,awake,wake,9.303158,8.740544
5403,flag,fish,9.299372,5.805201
745,that,stay,9.292833,6.9520273
8276,puppy,dog,9.27453,7.9952836
1515,underwear,down,9.239589,1.0822283
6831,awake,wake,9.236723,8.621426
7859,table,helicopter,9.235179,5.2604456
7941,goose,duck,9.213328,5.9129295
3830,into,store,9.209956,4.5816684
4432,bedroom,bed,9.176545,8.749157
270,that,stay,9.171202,9.153659
3129,chin,say,9.166799,7.6818557
1627,touch,yucky,9.1613035,3.30207
4344,open,wolf,9.159102,-0.8657457
6768,pencil,pen,9.1515465,8.922066
7252,into,night,9.145459,8.179834
4796,mouth,lips,9.1451025,7.915784
7113,kitty,cat,9.143317,8.8324995
5207,lips,mouth,9.129585,6.7709923
5516,hide,brother,9.124061,5.6359687
2578,garbage,noisy,9.121508,-1.6048037
4514,sick,why,9.106744,7.2046146
3309,puppy,dog,9.10665,7.729235
6845,awake,wake,9.099369,8.985916
410,wake,awake,9.0922985,9.003505
1792,close,open,9.088946,5.3195333
7607,goose,duck,9.083932,7.5187116
6826,open,book,9.080198,8.734606
5556,sleepy,sleep,9.076468,6.5923214
1287,listen,hear,9.060857,8.81964
7501,bedroom,bed,9.058641,5.925895
7055,fish,there,9.045882,6.8375616
7176,hear,ear,9.044629,7.587633
31,hear,listen,9.0334635,8.938172
2568,awake,wake,9.03217,8.839127
1460,can,yes,9.028285,8.910938
354,ride,stairs,9.017633,5.163083
6793,goose,duck,9.012023,8.448612
5620,arm,hesheit,9.008846,6.1784654
175,into,night,9.004567,8.897664
7837,close,clean,9.003173,1.4490786
4562,snack,food,8.995684,3.7990265
2894,chin,say,8.992362,7.5171566
1255,make,milk,8.984504,7.776313
3038,pen,pencil,8.973402,8.8728285
4524,close,snow,8.964126,8.551185
661,stairs,jump,8.963365,8.918209
8728,because,black,8.94672,7.203422
733,up,closet,8.946441,7.007606
5906,dry,dryer,8.94316,7.683387
4623,pretend,mouse,8.942995,7.4804773
9104,finger,wait,8.93289,8.665774
7125,into,night,8.931319,5.8639793
4595,lips,mouth,8.929541,7.851862
3157,lips,mouth,8.919186,8.2744465
1418,pen,pencil,8.91547,7.926879
4765,bedroom,room,8.912324,5.893545
4868,table,clean,8.90914,6.4647803
6364,sleep,wolf,8.899137,5.79656
9035,into,milk,8.897285,-1.1415819
8251,dryer,dry,8.894836,5.9952745
1219,tree,finish,8.889701,7.658848
8987,into,elephant,8.888546,7.291332
548,into,night,8.887482,6.7067895
2758,awake,wake,8.875898,8.821194
6063,hen,bird,8.872899,8.287553
4475,sleepy,sleep,8.867449,7.5923796
520,sleepy,nap,8.866951,7.0000925
5702,puzzle,vacuum,8.865577,4.8291054
4747,grandpa,dad,8.859469,6.720874
2966,that,stay,8.854722,7.9152656
7551,stay,that,8.853337,8.45815
6386,dry,fast,8.847997,7.9172163
4023,beside,fish,8.847908,6.635425
1781,make,milk,8.847872,7.946488
3506,pencil,pen,8.844576,8.156283
3676,nap,sleepy,8.840544,7.2040753
7389,there,hesheit,8.83291,8.440868
8542,goose,duck,8.829419,6.9671245
1210,have,bath,8.825226,4.7500625
7830,farm,mom,8.817213,5.9323406
4373,rain,cloud,8.8113,6.502086
2063,make,fast,8.811018,8.535048
4251,eye,red,8.810516,-2.4165888
1025,look,see,8.807043,7.6276965
1011,green,owie,8.795324,8.492346
7281,can,yes,8.794971,6.330213
5277,cat,kitty,8.784877,7.926792
6564,after,fine,8.776077,6.8598695
6088,wake,awake,8.771804,8.591156
1002,wake,awake,8.767814,8.354076
6166,awake,wake,8.758277,8.567774
7594,say,chin,8.748489,7.457674
782,give,gift,8.743767,8.095589
7003,every,any,8.731733,5.1615276
7382,hear,ear,8.721992,7.702145
6691,hen,bird,8.719848,4.0567646
7387,same,closet,8.716895,4.7564464
4424,empty,touch,8.701019,4.400252
70,farm,on,8.685246,1.21537
6757,underwear,cute,8.667512,5.9458942
6999,arm,police,8.667441,5.043184
3618,puppy,hat,8.663082,-0.9340235
5157,bed,bedroom,8.650407,7.155974
4904,tooth,glasswindow,8.646745,8.54252
6275,awake,wake,8.645881,8.445
8732,goose,bird,8.641109,7.78765
1169,pig,dirty,8.63141,6.39128
9303,wake,awake,8.631021,8.425192
4354,animal,bath,8.628239,8.224486
8331,bad,bed,8.61948,3.3177128
5257,puppy,white,8.618704,2.449914
7967,ride,toothbrush,8.617699,5.234949
2530,old,shoe,8.611275,2.9967303
4015,yes,can,8.605026,8.186313
3884,hate,grandma,8.603601,3.3110688
8057,pen,potty,8.593848,7.614703
6738,tongue,glasswindow,8.592609,7.215532
8409,duck,goose,8.590668,7.7470913
8986,goose,duck,8.590263,8.14128
5270,listen,hear,8.588879,7.7508445
2494,tree,morning,8.588236,6.2185187
9330,look,see,8.587634,8.074488
4845,awake,wake,8.587152,8.501312
7972,look,face,8.584376,8.365367
4211,hate,sticky,8.569659,4.035009
8040,yourself,girl,8.56371,7.2287154
1812,elephant,on,8.56032,4.443167
7724,cat,kitty,8.556494,8.073563
1850,stairs,jump,8.554145,7.581993
8517,cheek,say,8.537997,0.44294864
4981,bedroom,bed,8.534849,8.186903
1600,child,on,8.523308,6.692347
6664,morning,blue,8.520831,6.312215
2867,wake,awake,8.518714,8.488533
2947,sleep,sleepy,8.51734,7.9726725
3081,sleepy,sleep,8.51242,6.708904
681,sleep,nap,8.500628,7.1512823
2905,awake,wake,8.494285,8.385076
4317,duck,goose,8.490972,8.375625
1862,where,later,8.482517,3.4473262
397,sleepy,sleep,8.47744,5.8950176
3527,sleep,sleepy,8.472073,8.293181
8884,lamp,shower,8.462228,6.3917475
1106,goose,duck,8.460507,8.085917
1354,wake,awake,8.4574795,8.374503
9025,mad,better,8.457275,4.8188996
8665,fish,room,8.454579,7.9721956
5996,pen,pencil,8.452645,7.7254744
8540,penny,first,8.439322,4.3272805
3138,finish,underwear,8.439276,-0.5678038
84,feet,time,8.438981,7.3663445
2487,finger,wait,8.437931,8.073839
6119,goose,duck,8.432606,8.001028
5933,listen,cheek,8.424492,1.0228235
5460,tooth,glasswindow,8.416448,6.3216715
9218,grandma,farm,8.415871,6.712902
8142,duck,tongue,8.407513,8.001109
5085,can,shoe,8.407314,3.930171
8198,grandma,will,8.396973,8.181756
1796,can,yes,8.3913355,7.123317
8121,because,black,8.389336,8.100233
8700,time,gift,8.389081,4.637671
6027,why,sick,8.38597,7.569326
7769,penny,think,8.383547,6.3316674
46,cloud,into,8.374582,5.1228747
8315,cat,kitty,8.373206,7.3497653
8442,water,talk,8.372547,8.106061
247,gift,fast,8.370136,5.892345
4074,bad,thankyou,8.363459,7.230509
7108,pen,pencil,8.361058,7.5722556
7157,pencil,pen,8.360663,8.044303
336,sticky,yucky,8.356765,6.7296486
6720,duck,goose,8.354781,7.8363447
3840,mouse,pretend,8.353628,8.1939945
1332,kitty,cat,8.345039,7.779685
8944,backyard,aunt,8.343193,1.4757937
7300,taste,find,8.340184,1.8336551
6725,face,first,8.340095,5.426847
2102,glasswindow,tooth,8.314297,6.4945183
2375,mouth,glasswindow,8.310796,4.893261
8973,tooth,glasswindow,8.291295,7.393819
377,bedroom,bed,8.282193,4.989083
7434,beside,person,8.278127,6.4415016
724,dad,grandpa,8.273266,6.7283382
4199,yes,can,8.266959,6.3041477
6614,ear,hear,8.262715,3.383774
1690,giraffe,cereal,8.261574,7.4246054
6531,pizza,jump,8.260308,7.7030063
3647,helicopter,rain,8.257989,5.507997
1228,ride,dance,8.254935,8.147908
6435,underwear,jacket,8.249504,0.46604547
6743,awake,wake,8.247141,8.091959
1277,dry,dryer,8.24368,8.215596
6558,red,lips,8.239909,5.615369
1152,awake,wake,8.237334,7.8101096
8680,dirty,not,8.228124,0.6828144
3673,grandpa,man,8.227204,7.1802864
4999,eye,cheek,8.209493,4.1694994
5001,pencil,pen,8.206865,7.586805
8710,wake,awake,8.202804,7.9636316
8025,loud,noisy,8.200518,7.0536456
3452,room,bug,8.199613,2.0977213
4288,red,chin,8.195764,7.6938972
1662,before,outside,8.193775,1.1766874
5193,moon,for,8.188699,7.5729504
1292,finger,wait,8.18802,8.038489
5408,read,dance,8.187385,4.7474957
14,sticky,yucky,8.185596,7.805945
443,gift,go,8.184134,6.1425614
5850,clean,table,8.183193,5.8643603
6708,bedroom,hat,8.181304,-0.4575126
727,cat,kitty,8.177319,7.4910665
834,dryer,dry,8.174531,4.9006352
2888,hello,blue,8.171804,6.634833
4450,give,gift,8.171541,7.7757835
374,carrot,yes,8.167163,6.9156947
297,will,pretend,8.162931,6.210317
7486,face,penny,8.156773,7.130751
9062,bath,have,8.15612,3.4861984
9207,book,open,8.144464,7.3947144
5224,tooth,glasswindow,8.134571,7.6759768
8320,cowboy,cow,8.133885,7.3854237
3260,every,cry,8.131794,5.6721854
8607,mouse,pretend,8.1235895,7.699905
1250,pretty,sleep,8.123083,7.6008916
6265,pretend,mouse,8.119905,4.1690526
2911,hesheit,pajamas,8.117795,5.842416
5841,bye,finger,8.117639,5.417723
1370,bedroom,bed,8.108303,5.6016498
2482,jump,ride,8.106249,6.815191
7727,donkey,boy,8.103461,5.8486724
7021,pool,dance,8.098229,3.3190174
9077,many,drawer,8.092523,6.01287
3630,feet,time,8.090015,6.838674
2903,backyard,many,8.086826,4.1704044
4859,rain,alligator,8.0818205,7.4958797
7139,wake,awake,8.08117,7.9667416
7746,puppy,vacuum,8.07975,6.7765603
7887,shower,hat,8.078587,4.492363
8991,before,shirt,8.075269,4.817219
8727,horse,moon,8.067569,7.906313
2206,wake,awake,8.065278,7.8193626
3974,man,black,8.062509,5.602196
2587,pen,pencil,8.062064,7.7282586
8124,penny,face,8.058994,7.719586
5272,sad,mad,8.055532,5.259787
4181,hide,girl,8.050727,5.262132
4952,duck,goose,8.050012,7.9191947
4966,cat,kitty,8.045599,7.6648684
7608,dry,dryer,8.044118,8.025985
9112,horse,rain,8.034191,7.9081125
3032,water,talk,8.032823,6.279131
7425,kiss,food,8.025592,4.2612047
7626,hungry,table,8.02151,2.4817026
2515,any,another,8.020972,6.5329833
734,napkin,cute,8.017078,3.0840585
4593,dog,puppy,8.012934,7.370755
8358,mom,grandma,8.010417,5.6149116
1798,garbage,icecream,8.004404,3.5673013
6967,awake,wake,7.998909,7.9262366
2818,dad,man,7.997228,6.996641
5769,alligator,elephant,7.9889903,7.798772
9124,lips,mouth,7.983468,6.648349
8330,cloud,balloon,7.982588,7.9465637
1644,store,pool,7.98249,6.2410874
6198,orange,blow,7.981276,3.7110424
1610,another,any,7.9799476,7.7468777
904,duck,goose,7.974896,7.5976877
1474,tree,alligator,7.9709196,2.6063395
5892,into,night,7.9675207,7.7287316
2755,outside,go,7.9656167,7.3948293
1765,pool,clean,7.961945,6.5870943
1079,weus,zipper,7.961906,3.3815198
4010,kitty,bee,7.9582324,6.7689857
5353,feet,frenchfries,7.9555774,5.989803
1028,think,head,7.9481087,3.6073828
3777,quiet,talk,7.947675,6.534493
1972,say,chin,7.938618,7.91663
4428,close,snow,7.9368806,5.2085266
1854,finger,wait,7.9350147,6.419628
5139,pencil,penny,7.931825,7.6205993
7105,fall,scissors,7.915705,4.859042
4396,hide,yourself,7.915277,4.6044393
5431,car,close,7.9061427,-0.22451913
765,stairs,frog,7.9058905,4.717084
1444,think,penny,7.9044037,7.425242
9005,grandma,mom,7.9043036,7.232186
4476,read,dance,7.90027,5.914166
4710,quiet,shhh,7.8997703,6.512984
4703,wake,awake,7.8959627,7.859748
7725,cut,scissors,7.8906603,6.6186686
5205,yellow,now,7.8889403,7.2284274
7910,face,smile,7.877221,3.0955844
5413,goose,bird,7.874511,7.387393
2710,jacket,jeans,7.867123,5.1507816
445,outside,wet,7.849375,5.5662336
1387,hide,vacuum,7.8426104,6.1716785
3456,eye,nose,7.837826,7.5510597
396,pencil,toothbrush,7.8362007,6.730941
8163,hair,radio,7.8201094,4.443313
9122,bye,can,7.8199306,1.9823842
195,there,boat,7.8166337,5.9949512
3778,scissors,cut,7.811709,7.103004
7178,story,empty,7.81112,5.2566905
1977,not,old,7.808259,5.1165595
4488,dirty,pig,7.8077493,6.201749
5443,lamp,drop,7.8069735,5.5541625
7220,napkin,flower,7.8028445,7.725698
8016,pen,pencil,7.8004794,7.3458905
7483,callonphone,now,7.794466,7.738904
6547,dryer,cry,7.790085,6.859237
1382,drink,that,7.7838073,5.6103373
9335,drop,backyard,7.7783875,7.6802726
4941,boy,owl,7.7771106,6.48459
4182,make,refrigerator,7.7761035,5.311983
3715,cut,dance,7.773777,5.876002
3,beside,have,7.7735543,3.143781
2750,brother,all,7.7666264,6.9105124
8859,sleep,sleepy,7.762739,7.250101
5010,potty,pencil,7.747757,7.4864197
685,puzzle,jump,7.747383,6.1660323
1820,there,dog,7.7433314,4.046891
5269,snack,icecream,7.7431464,3.9963295
2211,morning,wait,7.732745,6.4307494
6393,owie,hide,7.730862,4.481006
4919,quiet,talk,7.727096,6.365636
4304,sleep,sleepy,7.7261367,7.381737
8343,hear,ear,7.7210965,6.536052
6762,cry,fast,7.7107744,5.5961947
5301,talk,quiet,7.7083645,7.5777974
6417,goose,duck,7.706026,7.382105
4823,cereal,pizza,7.7050157,5.8811975
6943,jeans,puzzle,7.701562,2.2170255
8745,chin,say,7.700135,7.1223826
2343,animal,have,7.697865,7.0069923
6775,pig,blow,7.687012,6.1907926
4043,lips,glasswindow,7.686919,7.4292336
3867,man,grandpa,7.6763496,6.80745
4008,pajamas,minemy,7.673621,5.606402
7444,girl,every,7.669436,7.3041506
4296,tongue,glasswindow,7.6654944,6.3383474
2924,toothbrush,dry,7.656234,6.0324373
9177,will,person,7.6498275,5.0658393
4404,awake,wake,7.637576,6.916016
1650,find,sticky,7.631267,7.5743136
9092,who,bird,7.627081,7.553498
497,there,book,7.6218777,4.452741
1945,finger,say,7.618957,5.6966066
7627,food,flower,7.6178074,7.2177825
7074,wake,awake,7.6126695,7.3856454
5235,blue,hello,7.6092806,6.384725
7320,tongue,say,7.608614,5.8302226
89,jacket,yellow,7.6047816,5.850928
8274,kiss,snack,7.603868,6.022395
3872,sun,pretend,7.603111,2.9435554
7631,bad,boat,7.6004944,2.8675978
2155,look,chocolate,7.599403,7.074327
1840,giraffe,mad,7.5972857,7.4977207
5068,after,fall,7.589157,-0.3659065
2106,wake,awake,7.585939,7.4909515
6271,drop,can,7.5849366,6.8337593
3585,sticky,touch,7.574639,7.5166583
53,dryer,dry,7.5696774,6.1845117
2329,dryer,many,7.5611787,4.909401
4107,mouth,chin,7.558914,3.9842362
4810,lips,mouth,7.5578723,7.551125
6936,up,later,7.548073,6.003482
4903,yes,down,7.535031,4.7656183
5347,later,loud,7.5285954,6.809573
5717,underwear,mouse,7.5259147,5.7741084
5404,all,later,7.5252504,6.7163095
4805,wait,boat,7.521616,3.8799355
6856,mouth,lips,7.5197697,6.998715
1882,cereal,giraffe,7.517295,7.075596
5671,drop,store,7.516314,6.7641516
8530,beside,before,7.5099106,6.1627207
6059,noisy,finish,7.509385,7.2937837
4383,open,morning,7.508486,7.0760007
2272,hot,empty,7.4992757,6.0654364
1803,hide,any,7.498068,7.346809
4990,brother,boy,7.4979935,5.9219103
8930,there,beside,7.4978185,5.544823
2107,cheek,tooth,7.491938,2.4830327
7619,time,zipper,7.4918685,3.027431
1199,that,stay,7.4913383,7.206401
6913,mouse,doll,7.486272,5.022053
2807,bee,beside,7.481997,2.861701
2743,elephant,jump,7.478718,6.478349
1640,yesterday,airplane,7.475016,6.135688
771,table,arm,7.4746723,6.1746125
6381,give,gift,7.470665,6.859719
6880,any,yourself,7.4684906,7.303742
8749,fall,high,7.467838,6.5868545
2593,every,hide,7.463682,7.0751615
2912,sad,brown,7.462297,6.3074923
5979,wake,puzzle,7.4600344,0.6096537
8789,ear,hear,7.459843,6.9641457
965,zipper,jacket,7.455153,7.1142635
7665,minemy,please,7.4542823,6.4536567
4399,wet,outside,7.4436636,6.6582704
6,make,hide,7.4426413,7.434464
5550,lamp,not,7.4388933,3.278417
1155,yes,can,7.438685,5.7736406
6143,lips,mouth,7.4319906,6.7759185
8591,tongue,tooth,7.431646,6.248015
5093,beside,hide,7.4310794,6.654951
8576,cowboy,boy,7.4295287,6.3020415
1341,sad,snack,7.4289885,5.025289
4972,pencil,pen,7.4273076,7.0494275
8671,chair,read,7.421659,7.18512
2420,brother,boy,7.4206753,5.6436796
5908,will,bedroom,7.409608,6.8924584
5793,duck,goose,7.4059863,7.3052735
43,sick,tree,7.4024687,4.7746253
9053,close,fish,7.4019127,4.7392645
905,haveto,have,7.399431,4.5731716
662,carrot,chocolate,7.398785,7.383778
3216,on,backyard,7.3984876,6.793162
7564,penny,pen,7.397863,5.805135
6580,table,helicopter,7.3974824,7.367821
4988,cut,scissors,7.396759,6.288564
524,cheek,gum,7.3939385,5.7411838
2263,beside,fine,7.388923,4.764436
9213,before,morning,7.387612,6.622639
5232,mouth,red,7.3783803,7.093752
5818,kiss,kitty,7.3776493,6.8234015
7831,that,stay,7.3775263,7.35772
6889,giraffe,smile,7.3774996,3.4828389
3021,hesheit,stay,7.373512,5.2500906
1920,donkey,boy,7.3703055,4.255069
7410,dryer,dry,7.3682017,6.1535106
362,any,another,7.3658295,5.382951
4718,wake,awake,7.3652735,7.1320977
3792,frenchfries,pool,7.3531394,2.532616
8113,jump,chair,7.351899,6.8543177
1176,wait,boat,7.349455,5.653453
1018,hate,sticky,7.347079,6.768419
3927,noisy,go,7.3311076,4.3762546
8074,no,tree,7.3309855,-0.47472936
5554,will,bedroom,7.330684,6.7866096
6917,on,child,7.3303022,6.9335175
4750,man,dad,7.328918,7.246398
8236,will,bedroom,7.328159,7.1477537
470,glasswindow,tooth,7.3268905,6.496328
7087,jump,read,7.3250175,6.1938696
8699,toothbrush,pencil,7.3221126,5.3220654
1654,cat,kitty,7.3213253,6.977975
6875,into,on,7.3210354,5.17989
4108,man,dad,7.3163,6.6885843
600,room,beside,7.313979,6.5784364
5794,finger,wait,7.31369,7.231299
262,bird,goose,7.3136373,7.2412486
7456,old,balloon,7.303807,5.3465767
8455,balloon,will,7.303545,3.3491635
7909,time,down,7.302224,5.682792
2293,snack,underwear,7.300069,4.1936126
4659,girl,yourself,7.2967587,6.293081
6194,brother,every,7.2954526,6.994936
7720,wake,awake,7.293934,6.6121774
2588,drawer,car,7.288956,5.4275427
4484,brother,because,7.284824,3.8817513
5167,glasswindow,tooth,7.2787814,4.6387606
5843,fall,dance,7.2782207,6.831405
3060,fast,every,7.2771893,0.3232265
703,cow,donkey,7.2765813,4.7040224
7890,talk,book,7.2753577,5.5653143
4210,tooth,lips,7.2738132,5.2144923
5716,where,loud,7.2734737,6.994866
4611,animal,have,7.2694077,7.1482377
1593,duck,goose,7.2663817,6.574832
5278,feet,dance,7.2598395,5.35935
5558,pajamas,lamp,7.2569404,3.3173966
3620,give,gift,7.2568855,5.286979
7060,say,red,7.2537427,6.345704
1196,pretty,sleep,7.2482963,6.412048
7954,happy,thankyou,7.245824,6.172717
625,napkin,see,7.244032,1.3976744
3824,clown,mad,7.243929,6.9406114
665,fine,water,7.243817,6.7207155
116,stairs,jump,7.243548,6.9858494
1297,shower,sun,7.242079,4.2014
284,blow,elephant,7.236818,6.6314692
1216,ride,any,7.235309,1.1104411
3499,napkin,flower,7.2313747,5.3351336
8302,dry,fast,7.2304683,6.53028
1669,toy,girl,7.225958,7.178754
4203,jeans,stay,7.2259464,6.8593497
4668,go,toy,7.222033,4.3493485
141,lamp,empty,7.2212777,4.38551
8340,after,there,7.2148747,5.0855184
2577,nose,go,7.2076287,4.166911
1961,open,on,7.1997128,3.4668717
7405,hair,dad,7.1963954,6.459092
5228,flag,morning,7.1946235,5.55447
206,finger,wait,7.1929846,6.3848786
1652,jump,TV,7.190936,6.552677
